A080814 | A130249 | 0.0833333333333333 | 8
A006037 | A004526 | 0.339449541284404 | 36
A006037 | A130259 | 0.0441176470588235 | 5
A006037 | A103586 | 0.0518518518518519 | 7
A006037 | A005041 | 0.15929203539823 | 18
A006037 | A110654 | 0.351351351351351 | 38
A006037 | A156253 | 0.458715596330275 | 50
A006037 | A001462 | 0.159663865546218 | 19
A006037 | A099802 | 0.311926605504587 | 34
A006037 | A115384 | 0.351351351351351 | 38
A006037 | A074286 | 0.342857142857143 | 35
A006037 | A002265 | 0.173913043478261 | 19
A006037 | A206244 | 0.0661157024793388 | 8
A006037 | A072000 | 0.241071428571429 | 26
A006037 | A036234 | 0.19047619047619 | 20
A006037 | A132090 | 0.0714285714285714 | 9
A006037 | A048766 | 0.0357142857142857 | 4
A006037 | A002266 | 0.14406779661017 | 16
A006037 | A008619 | 0.345454545454545 | 38
A006037 | A000194 | 0.075187969924812 | 10
A006037 | A055642 | 0.0212765957446809 | 3
A199710 | A130249 | 0.0714285714285714 | 8
A199710 | A130256 | 0.0634920634920635 | 7
A005101 | A000196 | 0.0670731707317073 | 10
A005101 | A059995 | 0.0666666666666667 | 10
A005101 | A070941 | 0.0516129032258065 | 8
A005101 | A070939 | 0.0419161676646707 | 7
A005101 | A130255 | 0.037037037037037 | 6
A005101 | A000523 | 0.0419161676646707 | 6
A005101 | A130260 | 0.0429447852760736 | 6
A005101 | A029837 | 0.0479041916167665 | 7
A005101 | A040000 | 0.0119760479041916 | 2
A005101 | A130259 | 0.0368098159509202 | 5
A005101 | A103586 | 0.0432098765432099 | 7
A005101 | A206244 | 0.0540540540540541 | 8
A005101 | A132090 | 0.0598802395209581 | 9
A005101 | A048766 | 0.029940119760479 | 4
A005101 | A000194 | 0.0625 | 10
A005101 | A055642 | 0.0178571428571429 | 3
A127956 | A137588 | 0.107142857142857 | 14
A127956 | A002024 | 0.0942028985507246 | 13
A127956 | A061017 | 0.183206106870229 | 24
A127956 | A002264 | 0.2 | 25
A127956 | A000720 | 0.166666666666667 | 21
A127956 | A000196 | 0.0705128205128205 | 10
A127956 | A059995 | 0.0700636942675159 | 10
A127956 | A070941 | 0.054421768707483 | 8
A127956 | A070939 | 0.0440251572327044 | 7
A127956 | A091194 | 0.135714285714286 | 18
A127956 | A130255 | 0.038961038961039 | 6
A127956 | A000523 | 0.0440251572327044 | 6
A127956 | A038567 | 0.121212121212121 | 16
A127956 | A130260 | 0.0451612903225806 | 6
A127956 | A003056 | 0.0962962962962963 | 12
A127956 | A029837 | 0.050314465408805 | 7
A127956 | A040000 | 0.0125786163522013 | 2
A127956 | A138194 | 0.0902777777777778 | 13
A127956 | A130259 | 0.0387096774193548 | 5
A127956 | A103586 | 0.0454545454545455 | 7
A127956 | A005041 | 0.136363636363636 | 18
A127956 | A001462 | 0.13768115942029 | 19
A127956 | A002265 | 0.149253731343284 | 19
A127956 | A206244 | 0.0571428571428571 | 8
A127956 | A072000 | 0.206106870229008 | 26
A127956 | A036234 | 0.161290322580645 | 20
A127956 | A132090 | 0.0628930817610063 | 9
A127956 | A048766 | 0.0314465408805031 | 4
A127956 | A002266 | 0.124087591240876 | 16
A127956 | A000194 | 0.0657894736842105 | 10
A127956 | A055642 | 0.01875 | 3
A131284 | A040000 | 0.0181818181818182 | 2
A131284 | A048766 | 0.0545454545454545 | 4
A131284 | A055642 | 0.027027027027027 | 3
A135655 | A130249 | 0.0756302521008403 | 8
A135655 | A130256 | 0.0672268907563025 | 7
A118376 | A063992 | 0.838709677419355 | 78
A060150 | A130249 | 0.0826446280991736 | 8
A060150 | A130256 | 0.0661157024793388 | 7
A033991 | A040000 | 0.0263157894736842 | 2
A000142 | A063992 | 0.804123711340206 | 78
A094268 | A070941 | 0.0927835051546392 | 8
A094268 | A070939 | 0.073394495412844 | 7
A094268 | A130255 | 0.0673076923076923 | 6
A094268 | A040000 | 0.0275229357798165 | 2
A094268 | A103586 | 0.0769230769230769 | 7
A094268 | A206244 | 0.1 | 8
A094268 | A000194 | 0.107843137254902 | 10
A094268 | A055642 | 0.0363636363636364 | 3
A001019 | A130249 | 0.0826446280991736 | 8
A001019 | A130256 | 0.0661157024793388 | 7
A092183 | A020725 | 0.75 | 75
A092183 | A130249 | 0.0708661417322835 | 8
A092183 | A130256 | 0.062992125984252 | 7
A226228 | A040000 | 0.0184049079754601 | 2
A046310 | A137588 | 0.116279069767442 | 14
A046310 | A065515 | 0.267241379310345 | 31
A046310 | A002024 | 0.102362204724409 | 13
A046310 | A013928 | 0.403361344537815 | 47
A046310 | A061017 | 0.2 | 24
A046310 | A002264 | 0.218487394957983 | 25
A046310 | A000720 | 0.181818181818182 | 21
A046310 | A000196 | 0.0758620689655172 | 10
A046310 | A065855 | 0.457627118644068 | 53
A046310 | A059995 | 0.0753424657534247 | 10
A046310 | A070941 | 0.0588235294117647 | 8
A046310 | A199332 | 0.342342342342342 | 38
A046310 | A070939 | 0.0472972972972973 | 7
A046310 | A091194 | 0.147286821705426 | 18
A046310 | A130255 | 0.041958041958042 | 6
A046310 | A000523 | 0.0472972972972973 | 6
A046310 | A038567 | 0.132231404958678 | 16
A046310 | A130260 | 0.0486111111111111 | 6
A046310 | A003056 | 0.104838709677419 | 12
A046310 | A029837 | 0.0540540540540541 | 7
A046310 | A004001 | 0.355932203389831 | 42
A046310 | A040000 | 0.0135135135135135 | 2
A046310 | A156077 | 0.319327731092437 | 38
A046310 | A138194 | 0.0977443609022556 | 13
A046310 | A004526 | 0.316239316239316 | 36
A046310 | A130259 | 0.0416666666666667 | 5
A046310 | A103586 | 0.048951048951049 | 7
A046310 | A005041 | 0.148760330578512 | 18
A046310 | A110654 | 0.327731092436975 | 38
A046310 | A156253 | 0.427350427350427 | 50
A046310 | A001477 | 0.644628099173554 | 77
A046310 | A001462 | 0.149606299212598 | 19
A046310 | A099802 | 0.290598290598291 | 34
A046310 | A115384 | 0.327731092436975 | 38
A046310 | A074286 | 0.31858407079646 | 35
A046310 | A002265 | 0.16260162601626 | 19
A046310 | A000027 | 0.641666666666667 | 77
A046310 | A206244 | 0.062015503875969 | 8
A046310 | A072000 | 0.225 | 26
A046310 | A036234 | 0.176991150442478 | 20
A046310 | A132090 | 0.0675675675675676 | 9
A046310 | A048766 | 0.0337837837837838 | 4
A046310 | A002266 | 0.134920634920635 | 16
A046310 | A008619 | 0.322033898305085 | 38
A046310 | A000194 | 0.0709219858156028 | 10
A046310 | A055642 | 0.0201342281879195 | 3
A024036 | A040000 | 0.0307692307692308 | 2
A140354 | A130249 | 0.0731707317073171 | 8
A140354 | A130256 | 0.0650406504065041 | 7
A040977 | A130256 | 0.0671641791044776 | 7
A086902 | A113311 | 0.032 | 4
A140325 | A130249 | 0.0731707317073171 | 8
A140325 | A130256 | 0.0650406504065041 | 7
A107036 | A040000 | 0.0206896551724138 | 2
A175221 | A040000 | 0.0122699386503067 | 2
A175221 | A130259 | 0.0440251572327044 | 5
A175221 | A048766 | 0.0306748466257669 | 4
A175221 | A055642 | 0.0182926829268293 | 3
A048395 | A040000 | 0.020979020979021 | 2
A048395 | A055642 | 0.0277777777777778 | 3
A082897 | A040000 | 0.0208333333333333 | 2
A033994 | A130250 | 0.0709219858156028 | 9
A033994 | A130253 | 0.0642857142857143 | 9
A033994 | A113311 | 0.0275862068965517 | 4
A070087 | A040000 | 0.0181818181818182 | 2
A101097 | A130249 | 0.0681818181818182 | 8
A101097 | A130256 | 0.0606060606060606 | 7
A001228 | A137588 | 0.133928571428571 | 14
A001228 | A065515 | 0.313131313131313 | 31
A001228 | A002024 | 0.118181818181818 | 13
A001228 | A013928 | 0.470588235294118 | 47
A001228 | A061017 | 0.233009708737864 | 24
A001228 | A002264 | 0.254901960784314 | 25
A001228 | A000720 | 0.211538461538462 | 21
A001228 | A000196 | 0.0859375 | 10
A001228 | A065855 | 0.534653465346535 | 53
A001228 | A059995 | 0.0852713178294574 | 10
A001228 | A070941 | 0.0672268907563025 | 8
A001228 | A199332 | 0.404255319148936 | 38
A001228 | A070939 | 0.0534351145038168 | 7
A001228 | A091194 | 0.169642857142857 | 18
A001228 | A130255 | 0.0476190476190476 | 6
A001228 | A000523 | 0.0534351145038168 | 6
A001228 | A038567 | 0.153846153846154 | 16
A001228 | A130260 | 0.0551181102362205 | 6
A001228 | A003056 | 0.121495327102804 | 12
A001228 | A029837 | 0.0610687022900763 | 7
A001228 | A004001 | 0.415841584158416 | 42
A001228 | A040000 | 0.0152671755725191 | 2
A001228 | A156077 | 0.372549019607843 | 38
A001228 | A138194 | 0.112068965517241 | 13
A001228 | A004526 | 0.37 | 36
A001228 | A130259 | 0.047244094488189 | 5
A001228 | A103586 | 0.0555555555555556 | 7
A001228 | A005041 | 0.173076923076923 | 18
A001228 | A110654 | 0.382352941176471 | 38
A001228 | A156253 | 0.5 | 50
A001228 | A001477 | 0.75 | 77
A001228 | A001462 | 0.172727272727273 | 19
A001228 | A099802 | 0.34 | 34
A001228 | A115384 | 0.382352941176471 | 38
A001228 | A074286 | 0.375 | 35
A001228 | A002265 | 0.188679245283019 | 19
A001228 | A000027 | 0.747572815533981 | 77
A001228 | A206244 | 0.0714285714285714 | 8
A001228 | A072000 | 0.262135922330097 | 26
A001228 | A036234 | 0.208333333333333 | 20
A001228 | A132090 | 0.0763358778625954 | 9
A001228 | A048766 | 0.0381679389312977 | 4
A001228 | A002266 | 0.155963302752294 | 16
A001228 | A008619 | 0.376237623762376 | 38
A001228 | A000194 | 0.0806451612903226 | 10
A001228 | A055642 | 0.0227272727272727 | 3
A220908 | A113311 | 0.0342465753424658 | 4
A175223 | A070941 | 0.0596026490066225 | 8
A175223 | A070939 | 0.0429447852760736 | 7
A175223 | A130255 | 0.0379746835443038 | 6
A175223 | A000523 | 0.0429447852760736 | 6
A175223 | A130260 | 0.0440251572327044 | 6
A175223 | A029837 | 0.049079754601227 | 7
A175223 | A040000 | 0.0122699386503067 | 2
A175223 | A130259 | 0.0377358490566038 | 5
A175223 | A103586 | 0.0443037974683544 | 7
A175223 | A206244 | 0.0625 | 8
A175223 | A048766 | 0.0306748466257669 | 4
A175223 | A055642 | 0.0182926829268293 | 3
A133767 | A137588 | 0.128205128205128 | 14
A133767 | A065515 | 0.298076923076923 | 31
A133767 | A002024 | 0.11304347826087 | 13
A133767 | A013928 | 0.448598130841121 | 47
A133767 | A061017 | 0.222222222222222 | 24
A133767 | A002264 | 0.242990654205607 | 25
A133767 | A000720 | 0.201834862385321 | 21
A133767 | A000196 | 0.0827067669172932 | 10
A133767 | A065855 | 0.509433962264151 | 53
A133767 | A059995 | 0.082089552238806 | 10
A133767 | A070941 | 0.0645161290322581 | 8
A133767 | A199332 | 0.383838383838384 | 38
A133767 | A070939 | 0.0514705882352941 | 7
A133767 | A091194 | 0.162393162393162 | 18
A133767 | A130255 | 0.0458015267175573 | 6
A133767 | A000523 | 0.0514705882352941 | 6
A133767 | A038567 | 0.146788990825688 | 16
A133767 | A130260 | 0.053030303030303 | 6
A133767 | A003056 | 0.116071428571429 | 12
A133767 | A029837 | 0.0588235294117647 | 7
A133767 | A004001 | 0.39622641509434 | 42
A133767 | A040000 | 0.0147058823529412 | 2
A133767 | A156077 | 0.355140186915888 | 38
A133767 | A138194 | 0.107438016528926 | 13
A133767 | A004526 | 0.352380952380952 | 36
A133767 | A130259 | 0.0454545454545455 | 5
A133767 | A103586 | 0.0534351145038168 | 7
A133767 | A005041 | 0.165137614678899 | 18
A133767 | A110654 | 0.364485981308411 | 38
A133767 | A156253 | 0.476190476190476 | 50
A133767 | A001477 | 0.715596330275229 | 77
A133767 | A001462 | 0.165217391304348 | 19
A133767 | A099802 | 0.323809523809524 | 34
A133767 | A115384 | 0.364485981308411 | 38
A133767 | A074286 | 0.356435643564356 | 35
A133767 | A002265 | 0.18018018018018 | 19
A133767 | A000027 | 0.712962962962963 | 77
A133767 | A206244 | 0.0683760683760684 | 8
A133767 | A072000 | 0.25 | 26
A133767 | A036234 | 0.198019801980198 | 20
A133767 | A132090 | 0.0735294117647059 | 9
A133767 | A048766 | 0.0367647058823529 | 4
A133767 | A002266 | 0.149122807017544 | 16
A133767 | A008619 | 0.358490566037736 | 38
A133767 | A000194 | 0.0775193798449612 | 10
A133767 | A055642 | 0.0218978102189781 | 3
A016754 | A130249 | 0.0689655172413793 | 8
A016754 | A130256 | 0.0551724137931034 | 7
A052220 | A040000 | 0.0130718954248366 | 2
A052220 | A130259 | 0.0469798657718121 | 5
A052220 | A048766 | 0.0326797385620915 | 4
A052220 | A055642 | 0.0194805194805195 | 3
A167616 | A040000 | 0.0283687943262411 | 2
A000037 | A008794 | 0.721428571428571 | 99
A000037 | A000290 | 0.716312056737589 | 99
A000037 | A013189 | 0.636942675159236 | 99
A127955 | A137588 | 0.15625 | 14
A127955 | A065515 | 0.373493975903614 | 31
A127955 | A002024 | 0.138297872340426 | 13
A127955 | A013928 | 0.558139534883721 | 47
A127955 | A061017 | 0.275862068965517 | 24
A127955 | A002264 | 0.302325581395349 | 25
A127955 | A000720 | 0.25 | 21
A127955 | A000196 | 0.0982142857142857 | 10
A127955 | A065855 | 0.635294117647059 | 53
A127955 | A059995 | 0.0973451327433628 | 10
A127955 | A070941 | 0.0776699029126214 | 8
A127955 | A199332 | 0.487179487179487 | 38
A127955 | A070939 | 0.0608695652173913 | 7
A127955 | A091194 | 0.197916666666667 | 18
A127955 | A130255 | 0.0545454545454545 | 6
A127955 | A000523 | 0.0608695652173913 | 6
A127955 | A038567 | 0.181818181818182 | 16
A127955 | A130260 | 0.0630630630630631 | 6
A127955 | A003056 | 0.142857142857143 | 12
A127955 | A029837 | 0.0695652173913043 | 7
A127955 | A004001 | 0.494117647058824 | 42
A127955 | A040000 | 0.0173913043478261 | 2
A127955 | A156077 | 0.441860465116279 | 38
A127955 | A138194 | 0.13 | 13
A127955 | A004526 | 0.44047619047619 | 36
A127955 | A130259 | 0.0540540540540541 | 5
A127955 | A103586 | 0.0636363636363636 | 7
A127955 | A005041 | 0.204545454545455 | 18
A127955 | A110654 | 0.453488372093023 | 38
A127955 | A156253 | 0.595238095238095 | 50
A127955 | A001477 | 0.886363636363636 | 77
A127955 | A001462 | 0.202127659574468 | 19
A127955 | A099802 | 0.404761904761905 | 34
A127955 | A115384 | 0.453488372093023 | 38
A127955 | A074286 | 0.45 | 35
A127955 | A002265 | 0.222222222222222 | 19
A127955 | A000027 | 0.885057471264368 | 77
A127955 | A206244 | 0.0833333333333333 | 8
A127955 | A072000 | 0.310344827586207 | 26
A127955 | A036234 | 0.25 | 20
A127955 | A132090 | 0.0869565217391304 | 9
A127955 | A048766 | 0.0434782608695652 | 4
A127955 | A002266 | 0.182795698924731 | 16
A127955 | A008619 | 0.447058823529412 | 38
A127955 | A000194 | 0.0925925925925926 | 10
A127955 | A055642 | 0.0258620689655172 | 3
A000396 | A040000 | 0.0173913043478261 | 2
A000396 | A130259 | 0.0630630630630631 | 5
A000396 | A048766 | 0.0434782608695652 | 4
A000396 | A055642 | 0.0258620689655172 | 3
A212331 | A002024 | 0.106870229007634 | 13
A212331 | A070941 | 0.0642857142857143 | 8
A212331 | A070939 | 0.0526315789473684 | 7
A212331 | A130255 | 0.0476190476190476 | 6
A212331 | A040000 | 0.0197368421052632 | 2
A212331 | A138194 | 0.102189781021898 | 13
A212331 | A103586 | 0.054421768707483 | 7
A212331 | A206244 | 0.0676691729323308 | 8
A212331 | A000194 | 0.0758620689655172 | 10
A212331 | A055642 | 0.0261437908496732 | 3
A211611 | A130249 | 0.0892857142857143 | 8
A211611 | A130256 | 0.0714285714285714 | 7
A140681 | A002024 | 0.111111111111111 | 13
A140681 | A070941 | 0.0666666666666667 | 8
A140681 | A070939 | 0.054421768707483 | 7
A140681 | A130255 | 0.0492957746478873 | 6
A140681 | A038567 | 0.141666666666667 | 16
A140681 | A040000 | 0.0204081632653061 | 2
A140681 | A138194 | 0.106060606060606 | 13
A140681 | A103586 | 0.0563380281690141 | 7
A140681 | A005041 | 0.158333333333333 | 18
A140681 | A001462 | 0.158730158730159 | 19
A140681 | A206244 | 0.0703125 | 8
A140681 | A036234 | 0.196428571428571 | 20
A140681 | A000194 | 0.0785714285714286 | 10
A140681 | A055642 | 0.027027027027027 | 3
A234043 | A130249 | 0.0687022900763359 | 8
A234043 | A130256 | 0.0610687022900763 | 7
A000751 | A092459 | 0.824742268041237 | 79
A225186 | A000196 | 0.101694915254237 | 10
A225186 | A059995 | 0.100840336134454 | 10
A225186 | A070941 | 0.073394495412844 | 8
A225186 | A070939 | 0.0578512396694215 | 7
A225186 | A130255 | 0.0517241379310345 | 6
A225186 | A000523 | 0.0578512396694215 | 6
A225186 | A130260 | 0.0598290598290598 | 6
A225186 | A029837 | 0.0661157024793388 | 7
A225186 | A040000 | 0.0165289256198347 | 2
A225186 | A130259 | 0.0512820512820513 | 5
A225186 | A103586 | 0.0603448275862069 | 7
A225186 | A206244 | 0.0784313725490196 | 8
A225186 | A132090 | 0.0826446280991736 | 9
A225186 | A048766 | 0.0413223140495868 | 4
A225186 | A000194 | 0.0964912280701754 | 10
A225186 | A055642 | 0.0245901639344262 | 3
A225186 | A020753 | 0.516129032258065 | 16
A058364 | A130249 | 0.0584415584415584 | 8
A058364 | A130256 | 0.051948051948052 | 7
A000045 | A001690 | 0.731481481481482 | 78
A116471 | A113311 | 0.0314465408805031 | 4
A220083 | A130249 | 0.0620689655172414 | 8
A220083 | A130256 | 0.0551724137931034 | 7
A018900 | A040000 | 0.0175438596491228 | 2
A009764 | A130253 | 0.0854700854700855 | 9
A009764 | A113311 | 0.040983606557377 | 4
A173490 | A000196 | 0.069620253164557 | 10
A173490 | A059995 | 0.0691823899371069 | 10
A173490 | A070941 | 0.0536912751677852 | 8
A173490 | A070939 | 0.0434782608695652 | 7
A173490 | A130255 | 0.0384615384615385 | 6
A173490 | A000523 | 0.0434782608695652 | 6
A173490 | A130260 | 0.0445859872611465 | 6
A173490 | A029837 | 0.0496894409937888 | 7
A173490 | A040000 | 0.0124223602484472 | 2
A173490 | A130259 | 0.0382165605095541 | 5
A173490 | A103586 | 0.0448717948717949 | 7
A173490 | A206244 | 0.0563380281690141 | 8
A173490 | A132090 | 0.062111801242236 | 9
A173490 | A048766 | 0.031055900621118 | 4
A173490 | A000194 | 0.0649350649350649 | 10
A173490 | A055642 | 0.0185185185185185 | 3
A001034 | A137588 | 0.122950819672131 | 14
A001034 | A065515 | 0.284403669724771 | 31
A001034 | A002024 | 0.108333333333333 | 13
A001034 | A013928 | 0.428571428571429 | 47
A001034 | A061017 | 0.212389380530973 | 24
A001034 | A002264 | 0.232142857142857 | 25
A001034 | A000720 | 0.192982456140351 | 21
A001034 | A000196 | 0.0797101449275362 | 10
A001034 | A065855 | 0.486486486486487 | 53
A001034 | A059995 | 0.079136690647482 | 10
A001034 | A070941 | 0.062015503875969 | 8
A001034 | A199332 | 0.365384615384615 | 38
A001034 | A070939 | 0.049645390070922 | 7
A001034 | A091194 | 0.155737704918033 | 18
A001034 | A130255 | 0.0441176470588235 | 6
A001034 | A000523 | 0.049645390070922 | 6
A001034 | A038567 | 0.140350877192982 | 16
A001034 | A130260 | 0.0510948905109489 | 6
A001034 | A003056 | 0.111111111111111 | 12
A001034 | A029837 | 0.0567375886524823 | 7
A001034 | A004001 | 0.378378378378378 | 42
A001034 | A040000 | 0.0141843971631206 | 2
A001034 | A156077 | 0.339285714285714 | 38
A001034 | A138194 | 0.103174603174603 | 13
A001034 | A004526 | 0.336363636363636 | 36
A001034 | A130259 | 0.0437956204379562 | 5
A001034 | A103586 | 0.0514705882352941 | 7
A001034 | A005041 | 0.157894736842105 | 18
A001034 | A110654 | 0.348214285714286 | 38
A001034 | A156253 | 0.454545454545455 | 50
A001034 | A001462 | 0.158333333333333 | 19
A001034 | A099802 | 0.309090909090909 | 34
A001034 | A115384 | 0.348214285714286 | 38
A001034 | A074286 | 0.339622641509434 | 35
A001034 | A002265 | 0.172413793103448 | 19
A001034 | A206244 | 0.0655737704918033 | 8
A001034 | A072000 | 0.238938053097345 | 26
A001034 | A036234 | 0.188679245283019 | 20
A001034 | A132090 | 0.0709219858156028 | 9
A001034 | A048766 | 0.0354609929078014 | 4
A001034 | A002266 | 0.142857142857143 | 16
A001034 | A008619 | 0.342342342342342 | 38
A001034 | A000194 | 0.0746268656716418 | 10
A001034 | A055642 | 0.0211267605633803 | 3
A045943 | A040000 | 0.025974025974026 | 2
A049452 | A040000 | 0.0202702702702703 | 2
A049452 | A055642 | 0.0268456375838926 | 3
A157726 | A040000 | 0.0205479452054795 | 2
A137588 | A069278 | 0.132743362831858 | 14
A137588 | A135650 | 0.161290322580645 | 14
A137588 | A023688 | 0.114503816793893 | 14
A137588 | A005238 | 0.113636363636364 | 14
A137588 | A023689 | 0.114503816793893 | 14
A137588 | A069274 | 0.127118644067797 | 14
A137588 | A049051 | 0.127118644067797 | 14
A137588 | A000915 | 0.131578947368421 | 14
A137588 | A005231 | 0.120967741935484 | 14
A137588 | A046314 | 0.120967741935484 | 14
A137588 | A115420 | 0.1 | 14
A137588 | A181793 | 0.104895104895105 | 14
A137588 | A014614 | 0.108695652173913 | 14
A137588 | A110375 | 0.115384615384615 | 14
A137588 | A039665 | 0.119047619047619 | 14
A137588 | A014312 | 0.111888111888112 | 14
A137588 | A157889 | 0.119047619047619 | 14
A137588 | A235488 | 0.12 | 14
A137588 | A198773 | 0.105633802816901 | 14
A137588 | A002646 | 0.12396694214876 | 14
A137588 | A069276 | 0.129310344827586 | 14
A137588 | A096954 | 0.161290322580645 | 14
A137588 | A025320 | 0.129310344827586 | 14
A137588 | A069279 | 0.135135135135135 | 14
A137588 | A069280 | 0.135135135135135 | 14
A137588 | A046306 | 0.111111111111111 | 14
A137588 | A069275 | 0.128205128205128 | 14
A137588 | A181792 | 0.107142857142857 | 14
A137588 | A244019 | 0.105633802816901 | 14
A137588 | A069273 | 0.125 | 14
A137588 | A069277 | 0.129310344827586 | 14
A137588 | A120359 | 0.14018691588785 | 14
A137588 | A118886 | 0.105633802816901 | 14
A137588 | A120349 | 0.137614678899083 | 14
A137588 | A006601 | 0.12396694214876 | 14
A137588 | A099011 | 0.120967741935484 | 14
A137588 | A023691 | 0.121951219512195 | 14
A137588 | A023690 | 0.116279069767442 | 14
A137588 | A133766 | 0.136752136752137 | 14
A137588 | A204189 | 0.133928571428571 | 14
A137588 | A157888 | 0.122950819672131 | 14
A137588 | A069272 | 0.125 | 14
A137588 | A014313 | 0.107142857142857 | 14
A137588 | A118882 | 0.108695652173913 | 14
A137588 | A178635 | 0.153061224489796 | 14
A137588 | A069281 | 0.136363636363636 | 14
A137588 | A101619 | 0.164835164835165 | 14
A137588 | A157910 | 0.119047619047619 | 14
A137588 | A045897 | 0.115384615384615 | 14
A137588 | A198775 | 0.119047619047619 | 14
A137588 | A157909 | 0.122950819672131 | 14
A137588 | A014613 | 0.107142857142857 | 14
A137588 | A046308 | 0.115384615384615 | 14
A137588 | A115421 | 0.102040816326531 | 14
A137588 | A143226 | 0.111111111111111 | 14
A137588 | A161581 | 0.147058823529412 | 14
A137588 | A006038 | 0.12 | 14
A137588 | A198774 | 0.116279069767442 | 14
A137588 | A046312 | 0.1171875 | 14
A069278 | A065515 | 0.31 | 31
A069278 | A002024 | 0.117117117117117 | 13
A069278 | A013928 | 0.466019417475728 | 47
A069278 | A061017 | 0.230769230769231 | 24
A069278 | A002264 | 0.252427184466019 | 25
A069278 | A000720 | 0.20952380952381 | 21
A069278 | A000196 | 0.0852713178294574 | 10
A069278 | A065855 | 0.529411764705882 | 53
A069278 | A059995 | 0.0846153846153846 | 10
A069278 | A070941 | 0.0666666666666667 | 8
A069278 | A199332 | 0.4 | 38
A069278 | A070939 | 0.053030303030303 | 7
A069278 | A091194 | 0.168141592920354 | 18
A069278 | A130255 | 0.047244094488189 | 6
A069278 | A000523 | 0.053030303030303 | 6
A069278 | A038567 | 0.152380952380952 | 16
A069278 | A130260 | 0.0546875 | 6
A069278 | A003056 | 0.12037037037037 | 12
A069278 | A029837 | 0.0606060606060606 | 7
A069278 | A004001 | 0.411764705882353 | 42
A069278 | A040000 | 0.0151515151515152 | 2
